"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","33993","Submit form successfully with valid data","Desktop Chrome","2026-09-18","passed","2026-09-18","Contract Feature Tests","web/contract.spec.ts","",""
"","5990","Login should fail with sai mật khẩu","Desktop Chrome","2026-09-18","passed","2026-09-18","Admin Login Feature Tests","admin/adminLogin.spec.ts","",""
"","8630","Login successfully with valid credentials","Desktop Chrome","2026-09-18","passed","2026-09-18","Admin Login Feature Tests","admin/adminLogin.spec.ts","",""
"","6044","Login should fail with bỏ trống tên đăng nhập","Desktop Chrome","2026-09-18","passed","2026-09-18","Admin Login Feature Tests","admin/adminLogin.spec.ts","",""
"","9651","Submit form should fail with bỏ trống nội dung","Desktop Chrome","2026-09-18","passed","2026-09-18","Contract Feature Tests","web/contract.spec.ts","",""
"","19807","Add product should fail with không nhập đường dẫn mẫu","Desktop Chrome","2026-09-18","passed","2026-09-18","Product Management Tests","admin/product.spec.ts","",""
"[PASS] Điểm SEO: 100/100 | Đạt: 14/14 tiêu chí | Ngưỡng: 96%

XUẤT SẮC","11431","Kiểm tra SEO Onpage: Kệ Tivi Gỗ Lũa Độc Đáo Cho Phòng Khách Hiện Đại (/ke-tivi-go-lua-doc-dao-cho-phong-khach-hien-dai)","Desktop Chrome","2026-09-18","passed","2026-09-18","SEO Page","seo/seo.spec.ts","",""
"","10791","Submit form should fail with sai định dạng email","Desktop Chrome","2026-09-18","passed","2026-09-18","Contract Feature Tests","web/contract.spec.ts","",""
"[PASS] Điểm SEO: 100/100 | Đạt: 14/14 tiêu chí | Ngưỡng: 96%

XUẤT SẮC","10021","Kiểm tra SEO Onpage: Ghế massage (/ghe-massage)","Desktop Chrome","2026-09-18","passed","2026-09-18","SEO Page","seo/seo.spec.ts","",""
"[PASS] Điểm SEO: 100/100 | Đạt: 14/14 tiêu chí | Ngưỡng: 96%

XUẤT SẮC","17157","Kiểm tra SEO Onpage: Dụng cụ thể thao (/dung-cu-the-thao)","Desktop Chrome","2026-09-18","passed","2026-09-18","SEO Page","seo/seo.spec.ts","",""
"[PASS] Điểm SEO: 100/100 | Đạt: 14/14 tiêu chí | Ngưỡng: 96%

XUẤT SẮC","14703","Kiểm tra SEO Onpage: Thu cũ đổi mới ghế massage (/thu-cu-doi-moi-ghe-massage)","Desktop Chrome","2026-09-18","passed","2026-09-18","SEO Page","seo/seo.spec.ts","",""
"","184223","Bulk insert 35 news via Copy and verify Load More on website","Desktop Chrome","2026-09-18","failed","2026-09-18","News Management Tests","admin/news.spec.ts","",""
"[FAIL] Điểm SEO: 75/100 | Đạt: 15/20 tiêu chí | Ngưỡng: 96%

KHÁ","122984","Kiểm tra SEO Onpage: /index.php (/index.php)","Desktop Chrome","2026-09-18","failed","2026-09-18","SEO Page","seo/seo.spec.ts","",""
"[PASS] Điểm SEO: 100/100 | Đạt: 14/14 tiêu chí | Ngưỡng: 96%

XUẤT SẮC","16286","Kiểm tra SEO Onpage: Chính sách bảo mật (/chinh-sach-bao-mat)","Desktop Chrome","2026-09-18","passed","2026-09-18","SEO Page","seo/seo.spec.ts","",""
"","22220","Add product should fail with không nhập tiêu đề","Desktop Chrome","2026-09-18","passed","2026-09-18","Product Management Tests","admin/product.spec.ts","",""
"","6001","Login should fail with tấn công SQL Injection","Desktop Chrome","2026-09-18","passed","2026-09-18","Admin Login Feature Tests","admin/adminLogin.spec.ts","",""
"","180206","Kiểm tra SEO Onpage: Sản phẩm (/san-pham)","Desktop Chrome","2026-09-18","broken","2026-09-18","SEO Page","seo/seo.spec.ts","",""
"[PASS] Điểm SEO: 100/100 | Đạt: 14/14 tiêu chí | Ngưỡng: 96%

XUẤT SẮC","9788","Kiểm tra SEO Onpage: Sửa chữa ghế massage (1) Sửa chữa ghế massage (1) Sửa chữa ghế massage (1) (/sua-chua-ghe-massage-1)","Desktop Chrome","2026-09-18","passed","2026-09-18","SEO Page","seo/seo.spec.ts","",""
