"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","UI","0","trangchu","1","1","Toàn bộ trang","0"
"1","SEO","0","SEO Page","0","0","Phân tích SEO chuyên sâu: https://code4.mimadigi.vn/2026/august/buivanquy_111126W/","0"
"0","UI","0","gioithieu","1","1","Toàn bộ trang","0"
"0","Admin","0","Add and Verify Projects","1","0","Invalid Project: KHÔNG NHẬP ĐƯỜNG DẪN MẪU","0"
"0","SEO","0","SEO Page","1","0","Phân tích SEO chuyên sâu: Bảo hành dịch vụ","0"
"0","Web","0","Submit Contract Form","1","0","Invalid Contract: BỎ TRỐNG NỘI DUNG","0"
"0","Web","1","Submit Contract Form","0","0","Invalid Contract: NHẬP TOÀN KHOẢNG TRẮNG","0"
"0","Admin","1","Add and Verify Projects","0","0","Bulk Insert and Pagination Verification","0"
"0","Admin","1","Add and Verify News","0","0","Bulk Insert and Pagination Verification","0"
"0","SEO","2","SEO Page","0","0","Phân tích SEO chuyên sâu: [AUTO","0"
"0","Web","0","Submit Contract Form","1","0","Invalid Contract: BỎ TRỐNG ĐIỆN THOẠI","0"
"0","UI","0","dichvu","1","1","Toàn bộ trang","0"
"0","SEO","4","SEO Page","0","0","Phân tích SEO chuyên sâu: ","0"
"0","Authentication","0","Admin Login","1","0","Invalid Admin Login: TẤN CÔNG SQL INJECTION","0"
"0","SEO","1","SEO Page","0","0","Phân tích SEO chuyên sâu: Dịch vụ","0"
"0","Web","0","Search from Homepage Dropdown","1","0","Invalid Search: TỪ KHÓA CHỨA TOÀN KÝ TỰ ĐẶC BIỆT","0"
"1","SEO","0","SEO Page","0","0","Phân tích SEO chuyên sâu: Sản phẩm","0"
"0","Authentication","0","Admin Login","1","0","Invalid Admin Login: SAI MẬT KHẨU","0"
"0","SEO","1","SEO Page","0","0","Phân tích SEO chuyên sâu: Test News Title 1786690777289","0"
"0","Web","0","Newsletter Subscription","1","0","Invalid Newsletter Submission: BỎ TRỐNG ĐIỆN THOẠI","0"
"0","Admin","0","Add and Verify Projects","1","0","Invalid Project: KHÔNG NHẬP TIÊU ĐỀ","0"
"0","Admin","0","Add and Verify News","1","0","Valid News Addition Flow","0"
"0","Web","0","Submit Contract Form","1","0","Invalid Contract: SAI ĐỊNH DẠNG EMAIL","0"
"1","SEO","0","SEO Page","0","0","Phân tích SEO chuyên sâu: https://code4.mimadigi.vn/2026/august/buivanquy_111126W/tags","0"
"0","Web","0","Submit Contract Form","1","0","Invalid Contract: SỐ ĐIỆN THOẠI CHỨA CHỮ CÁI","0"
"0","SEO","0","SEO Page","1","0","Phân tích SEO chuyên sâu: Dự án 1","0"
"0","SEO","1","SEO Page","0","0","Phân tích SEO chuyên sâu: Liên hệ","0"
"0","Web","1","Search from Homepage Dropdown","0","0","Dynamic Keyword Search","0"
"0","SEO","1","SEO Page","0","0","Phân tích SEO chuyên sâu: Phụ tùng chính hãng","0"
"0","SEO","0","SEO Page","1","0","Phân tích SEO chuyên sâu: Báo giá minh bạch","0"
"0","Web","0","Submit Contract Form","1","0","Invalid Contract: BỎ TRỐNG EMAIL","0"
"0","SEO","1","SEO Page","0","0","Phân tích SEO chuyên sâu: Hỗ trợ cứu hộ 24/7","0"
"0","SEO","0","SEO Page","1","0","Phân tích SEO chuyên sâu: Danh mục dịch vụ 1","0"
"0","Admin","0","Add and Verify Projects","1","0","Valid Project Addition Flow","0"
"0","Authentication","0","Admin Login","1","0","Invalid Admin Login: SAI TÊN ĐĂNG NHẬP","0"
"0","Authentication","0","Admin Login","1","0","Invalid Admin Login: BỎ TRỐNG TÊN ĐĂNG NHẬP","0"
"0","Admin","0","Add and Verify Service Category 1","1","0","Invalid Service Category 1: KHÔNG NHẬP TIÊU ĐỀ","0"
